Dataset,MinUtil,BatchID,RunIndex,HAUSP_EHAUSM-R,HAUSP_HAUSP-UB,Status
example,0.050000,0,0,7,7,SUCCESS_MATCH
example,0.050000,1,0,18,18,SUCCESS_MATCH
example,0.050000,2,0,28,28,SUCCESS_MATCH
example,0.050000,3,0,38,38,SUCCESS_MATCH
example,0.050000,4,0,118,118,SUCCESS_MATCH
BIBLE,0.000500,0,0,48701,48701,SUCCESS_MATCH
BIBLE,0.000500,1,0,48266,48266,SUCCESS_MATCH
BIBLE,0.000500,2,0,37666,37666,SUCCESS_MATCH
BIBLE,0.000500,3,0,38012,38012,SUCCESS_MATCH
BIBLE,0.000500,4,0,29772,29772,SUCCESS_MATCH
BMS1_SPMF,0.003500,0,0,100,100,SUCCESS_MATCH
BMS1_SPMF,0.003500,1,0,97,97,SUCCESS_MATCH
BMS1_SPMF,0.003500,2,0,94,94,SUCCESS_MATCH
BMS1_SPMF,0.003500,3,0,93,93,SUCCESS_MATCH
BMS1_SPMF,0.003500,4,0,93,93,SUCCESS_MATCH
FIFA,0.009000,0,0,1083,1083,SUCCESS_MATCH
FIFA,0.009000,1,0,1043,1043,SUCCESS_MATCH
FIFA,0.009000,2,0,1114,1114,SUCCESS_MATCH
FIFA,0.009000,3,0,1199,1199,SUCCESS_MATCH
FIFA,0.009000,4,0,1174,1174,SUCCESS_MATCH
KOSARAK,0.005000,0,0,44,44,SUCCESS_MATCH
KOSARAK,0.005000,1,0,44,44,SUCCESS_MATCH
KOSARAK,0.005000,2,0,44,44,SUCCESS_MATCH
KOSARAK,0.005000,3,0,44,44,SUCCESS_MATCH
KOSARAK,0.005000,4,0,44,44,SUCCESS_MATCH
LEVIATHAN,0.005000,0,0,1358,1358,SUCCESS_MATCH
LEVIATHAN,0.005000,1,0,1794,1794,SUCCESS_MATCH
LEVIATHAN,0.005000,2,0,1962,1962,SUCCESS_MATCH
LEVIATHAN,0.005000,3,0,1912,1912,SUCCESS_MATCH
LEVIATHAN,0.005000,4,0,1983,1983,SUCCESS_MATCH
SIGN,0.005000,0,0,3340,3340,SUCCESS_MATCH
SIGN,0.005000,1,0,2637,2637,SUCCESS_MATCH
SIGN,0.005000,2,0,2248,2248,SUCCESS_MATCH
SIGN,0.005000,3,0,1988,1988,SUCCESS_MATCH
SIGN,0.005000,4,0,1907,1907,SUCCESS_MATCH
C8T1S5I8N5K,0.000200,0,0,6075,6075,SUCCESS_MATCH
C8T1S5I8N5K,0.000200,1,0,4674,4674,SUCCESS_MATCH
C8T1S5I8N5K,0.000200,2,0,3087,3087,SUCCESS_MATCH
C8T1S5I8N5K,0.000200,3,0,2429,2429,SUCCESS_MATCH
C8T1S5I8N5K,0.000200,4,0,2623,2623,SUCCESS_MATCH
